FILENAME       TYPE            RA       DEC      exptime DATE	
b160320.000123.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:06:42	
b160320.000124.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:06:56	
b160320.000125.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:07:09	
b160320.000126.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:07:22	
b160320.000127.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:07:35	
b160320.000128.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:07:49	
b160320.000129.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:08:02	
b160320.000130.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:08:15	
b160320.000131.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:08:28	
b160320.000132.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:08:42	
b160320.000133.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:08:55	
b160320.000134.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:09:08	
b160320.000135.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:09:21	
b160320.000136.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:09:35	
b160320.000137.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:09:48	
b160320.000138.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:10:01	
b160320.000139.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:10:14	
b160320.000140.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:10:27	
b160320.000141.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:10:41	
b160320.000142.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:10:54	
b160320.000143.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:11:07	
b160320.000144.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:11:20	
b160320.000145.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:11:34	
b160320.000146.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:13:01	
b160320.000147.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:13:15	
b160320.000148.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:13:28	
b160320.000149.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:13:41	
b160320.000150.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:13:54	
b160320.000151.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:14:08	
b160320.000152.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:14:21	
b160320.000153.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:14:34	
b160320.000154.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:14:47	
b160320.000155.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:15:00	
b160320.000156.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:15:14	
b160320.000157.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:15:27	
b160320.000158.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:15:40	
b160320.000159.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:15:53	
b160320.000160.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:16:07	
b160320.000161.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:16:20	
b160320.000162.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:16:33	
b160320.000163.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:16:46	
b160320.000164.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:17:00	
b160320.000165.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:17:13	
b160320.000166.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:17:26	
b160320.000167.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:17:39	
b160320.000168.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:17:53	
b160320.000169.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:18:06	
b160320.000170.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:18:19	
b160320.000171.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:20:30	
b160320.000172.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:20:43	
b160320.000173.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:20:56	
b160320.000174.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:21:10	
b160320.000175.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:21:23	
b160320.000176.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:21:36	
b160320.000177.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:21:49	
b160320.000178.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:22:02	
b160320.000179.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:22:16	
b160320.000180.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:22:29	
b160320.000181.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:22:42	
b160320.000182.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:22:55	
b160320.000183.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:23:09	
b160320.000184.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:23:22	
b160320.000185.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:23:35	
b160320.000186.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:23:48	
b160320.000187.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:24:02	
b160320.000188.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:24:15	
b160320.000189.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:24:28	
b160320.000190.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:24:41	
b160320.000191.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:24:55	
b160320.000192.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:25:08	
b160320.000193.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:25:21	
b160320.000194.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:25:34	
b160320.000195.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:25:47	
b160320.000196.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:28:00	
b160320.000197.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:28:14	
b160320.000198.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:28:27	
b160320.000199.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:28:40	
b160320.000207.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:30:26	
b160320.000208.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:30:39	
b160320.000209.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:30:52	
b160320.000200.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:28:53	
b160320.000201.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:29:07	
b160320.000202.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:29:20	
b160320.000203.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:29:33	
