FILENAME       TYPE            RA       DEC      exptime DATE	
b160427.000156.fits           survey   79.7850 -47.8385   60.00 2016-04-27T21:55:33	
b160427.000157.fits           survey   81.9057 -47.8385   60.00 2016-04-27T21:57:08	
b160427.000158.fits           survey   84.0264 -47.8385   60.00 2016-04-27T21:58:43	
b160427.000159.fits           survey   86.1471 -47.8385   60.00 2016-04-27T22:00:23	
b160427.000160.fits           survey   88.2678 -47.8385   60.00 2016-04-27T22:02:05	
b160427.000161.fits           survey   90.3885 -47.8385   60.00 2016-04-27T22:03:44	
b160427.000162.fits           survey   92.5092 -47.8385   60.00 2016-04-27T22:05:18	
b160427.000163.fits           survey   89.0364 -44.9083   60.00 2016-04-27T22:07:13	
b160427.000164.fits           survey   87.0211 -44.9083   60.00 2016-04-27T22:09:05	
b160427.000165.fits           survey   85.0059 -44.9083   60.00 2016-04-27T22:10:43	
b160427.000166.fits           survey   82.9906 -44.9083   60.00 2016-04-27T22:12:38	
b160427.000167.fits           survey   80.9753 -44.9083   60.00 2016-04-27T22:14:13	
b160427.000168.fits           survey   78.9601 -44.9083   60.00 2016-04-27T22:15:53	
b160427.000169.fits           survey   76.9448 -44.9083   60.00 2016-04-27T22:17:28	
b160427.000170.fits           survey   74.9296 -44.9083   60.00 2016-04-27T22:19:03	
b160427.000171.fits           survey   72.9143 -44.9083   60.00 2016-04-27T22:20:41	
b160427.000172.fits           survey   70.8991 -44.9083   60.00 2016-04-27T22:22:13	
b160427.000173.fits           survey   68.8838 -44.9083   60.00 2016-04-27T22:23:48	
b160427.000174.fits           survey   66.8686 -44.9083   60.00 2016-04-27T22:25:23	
b160427.000175.fits           survey   64.8533 -44.9083   60.00 2016-04-27T22:26:59	
b160427.000176.fits           survey   62.8381 -44.9083   60.00 2016-04-27T22:28:34	
b160427.000177.fits           survey   60.8228 -44.9083   60.00 2016-04-27T22:30:14	
b160427.000178.fits           survey   58.8076 -44.9083   60.00 2016-04-27T22:31:48	
b160427.000179.fits           survey   56.7923 -44.9083   60.00 2016-04-27T22:33:23	
b160427.000180.fits           survey   54.7770 -44.9083   60.00 2016-04-27T22:35:03	
b160427.000181.fits           survey   52.7618 -44.9083   60.00 2016-04-27T22:36:53	
b160427.000182.fits           survey   50.7465 -44.9083   60.00 2016-04-27T22:38:29	
b160427.000183.fits           survey   48.7313 -44.9083   60.00 2016-04-27T22:40:05	
b160427.000184.fits           survey   46.7160 -44.9083   60.00 2016-04-27T22:41:43	
b160427.000185.fits           survey   44.7008 -44.9083   60.00 2016-04-27T22:43:18	
b160427.000186.fits           survey   42.6855 -44.9083   60.00 2016-04-27T22:44:54	
b160427.000187.fits           survey   40.6703 -44.9083   60.00 2016-04-27T22:46:28	
b160427.000188.fits           survey   38.6550 -44.9083   60.00 2016-04-27T22:48:08	
b160427.000189.fits           survey   57.6876 -41.9781   60.00 2016-04-27T22:50:18	
b160427.000190.fits           survey   59.6122 -41.9781   60.00 2016-04-27T22:51:58	
b160427.000191.fits           survey   61.5368 -41.9781   60.00 2016-04-27T22:53:33	
b160427.000192.fits           survey   63.4614 -41.9781   60.00 2016-04-27T22:55:08	
b160427.000193.fits           survey   65.3860 -41.9781   60.00 2016-04-27T22:56:53	
b160427.000194.fits           survey   67.3106 -41.9781   60.00 2016-04-27T22:58:38	
b160427.000195.fits           survey   69.2352 -41.9781   60.00 2016-04-27T23:00:13	
b160427.000196.fits           survey   71.1598 -41.9781   60.00 2016-04-27T23:02:02	
b160427.000197.fits           survey   73.0844 -41.9781   60.00 2016-04-27T23:03:47	
b160427.000198.fits           survey   75.0090 -41.9781   60.00 2016-04-27T23:05:28	
b160427.000199.fits           survey   76.9336 -41.9781   60.00 2016-04-27T23:07:07	
b160427.000200.fits           survey   78.8582 -41.9781   60.00 2016-04-27T23:08:52	
b160427.000201.fits           survey   80.7828 -41.9781   60.00 2016-04-27T23:10:28	
b160427.000202.fits           survey   82.7074 -41.9781   60.00 2016-04-27T23:12:04	
b160427.000203.fits           survey   84.6320 -41.9781   60.00 2016-04-27T23:13:43	
b160427.000204.fits           survey  103.0398 -56.6292   60.00 2016-04-27T23:15:53	
b160427.000205.fits           survey  100.4783 -56.6292   60.00 2016-04-27T23:17:28	
b160427.000206.fits           survey   97.9169 -56.6292   60.00 2016-04-27T23:19:08	
b160427.000207.fits           survey   95.3555 -56.6292   60.00 2016-04-27T23:20:53	
b160427.000208.fits           survey   92.7940 -56.6292   60.00 2016-04-27T23:22:33	
b160427.000209.fits           survey   90.2326 -56.6292   60.00 2016-04-27T23:24:10	
b160427.000210.fits           survey   87.6711 -56.6292   60.00 2016-04-27T23:25:43	
b160427.000211.fits           survey   85.1097 -56.6292   60.00 2016-04-27T23:27:35	
b160427.000212.fits           survey   82.5482 -56.6292   60.00 2016-04-27T23:29:23	
b160427.000213.fits           survey   79.9868 -56.6292   60.00 2016-04-27T23:31:08	
b160427.000214.fits           survey   77.4253 -56.6292   60.00 2016-04-27T23:32:43	
b160427.000215.fits           survey   74.8639 -56.6292   60.00 2016-04-27T23:34:18	
b160427.000216.fits           survey   72.3024 -56.6292   60.00 2016-04-27T23:36:04	
b160427.000217.fits           survey   69.7410 -56.6292   60.00 2016-04-27T23:37:48	
b160427.000218.fits           survey   67.1795 -56.6292   60.00 2016-04-27T23:39:23	
b160427.000219.fits           survey   64.6181 -56.6292   60.00 2016-04-27T23:40:58	
b160427.000220.fits           survey   62.0567 -56.6292   60.00 2016-04-27T23:42:33	
b160427.000221.fits           survey   59.4952 -56.6292   60.00 2016-04-27T23:44:08	
b160427.000222.fits           survey  282.1006 -50.7687   60.00 2016-04-27T23:53:08	
b160427.000223.fits           survey  284.3445 -50.7687   60.00 2016-04-27T23:54:48	
b160427.000224.fits           survey  286.5885 -50.7687   60.00 2016-04-27T23:56:24	
b160427.000225.fits           survey  288.8325 -50.7687   60.00 2016-04-27T23:58:03	
b160427.000226.fits           survey  291.0764 -50.7687   60.00 2016-04-27T23:59:43	
b160427.000227.fits           survey  293.3204 -50.7687   60.00 2016-04-28T00:01:23	
b160427.000228.fits           survey  295.5644 -50.7687   60.00 2016-04-28T00:03:03	
b160427.000229.fits           survey  297.8083 -50.7687   60.00 2016-04-28T00:04:38	
b160427.000230.fits           survey  300.0523 -50.7687   60.00 2016-04-28T00:06:28	
b160427.000231.fits           survey  302.2963 -50.7687   60.00 2016-04-28T00:08:12	
b160427.000232.fits           survey  304.5402 -50.7687   60.00 2016-04-28T00:09:53	
b160427.000233.fits           survey  306.7842 -50.7687   60.00 2016-04-28T00:11:33	
b160427.000234.fits           survey  309.0282 -50.7687   60.00 2016-04-28T00:13:18	
b160427.000235.fits           survey  311.2722 -50.7687   60.00 2016-04-28T00:15:03	
b160427.000236.fits           survey  318.9054 -47.8385   60.00 2016-04-28T00:16:53	
b160427.000237.fits           survey  314.6641 -47.8385   60.00 2016-04-28T01:25:49	
b160427.000238.fits           survey  312.5434 -47.8385   60.00 2016-04-28T01:27:23	
b160427.000239.fits           survey  310.4227 -47.8385   60.00 2016-04-28T01:28:58	
b160427.000240.fits           survey  308.3020 -47.8385   60.00 2016-04-28T01:30:38	
b160427.000241.fits           survey  306.1813 -47.8385   60.00 2016-04-28T01:32:22	
b160427.000242.fits           survey  304.0606 -47.8385   60.00 2016-04-28T01:33:58	
b160427.000243.fits           survey  301.9399 -47.8385   60.00 2016-04-28T01:35:33	
b160427.000244.fits           survey  299.8192 -47.8385   60.00 2016-04-28T01:37:08	
b160427.000245.fits           survey  297.6985 -47.8385   60.00 2016-04-28T01:38:42	
b160427.000246.fits           survey  295.5778 -47.8385   60.00 2016-04-28T01:40:18	
b160427.000247.fits           survey  293.4571 -47.8385   60.00 2016-04-28T01:41:58	
b160427.000248.fits           survey  291.3364 -47.8385   60.00 2016-04-28T01:43:33	
b160427.000249.fits           survey  289.2157 -47.8385   60.00 2016-04-28T01:45:13	
b160427.000250.fits           survey  287.0950 -47.8385   60.00 2016-04-28T01:46:48	
b160427.000251.fits           survey  291.8466 -44.9083   60.00 2016-04-28T01:48:33	
b160427.000252.fits           survey  293.8618 -44.9083   60.00 2016-04-28T01:50:13	
b160427.000253.fits           survey  295.8771 -44.9083   60.00 2016-04-28T01:51:53	
b160427.000254.fits           survey  297.8923 -44.9083   60.00 2016-04-28T01:53:30	
b160427.000255.fits           survey  299.9076 -44.9083   60.00 2016-04-28T01:55:13	
b160427.000256.fits           survey  301.9228 -44.9083   60.00 2016-04-28T01:56:53	
b160427.000257.fits           survey  303.9381 -44.9083   60.00 2016-04-28T01:58:32	
b160427.000258.fits           survey  305.9534 -44.9083   60.00 2016-04-28T02:00:12	
b160427.000259.fits           survey  307.9686 -44.9083   60.00 2016-04-28T02:01:53	
b160427.000260.fits           survey  309.9839 -44.9083   60.00 2016-04-28T02:03:34	
b160427.000261.fits           survey  311.9991 -44.9083   60.00 2016-04-28T02:05:15	
b160427.000262.fits           survey  314.0144 -44.9083   60.00 2016-04-28T02:06:53	
b160427.000263.fits           survey  316.0296 -44.9083   60.00 2016-04-28T02:08:37	
b160427.000264.fits           survey  318.0449 -44.9083   60.00 2016-04-28T02:10:13	
b160427.000265.fits           survey  320.0601 -44.9083   60.00 2016-04-28T02:11:53	
b160427.000266.fits           survey  322.0754 -44.9083   60.00 2016-04-28T02:13:35	
b160427.000267.fits           survey  304.1364 -41.9781   60.00 2016-04-28T02:15:43	
b160427.000268.fits           survey  302.2119 -41.9781   60.00 2016-04-28T02:17:18	
b160427.000292.fits           survey  334.1669 -44.9083   60.00 2016-04-28T02:59:07	
b160427.000293.fits           survey  332.1516 -44.9083   60.00 2016-04-28T03:00:48	
b160427.000294.fits           survey  315.6840 -41.9781   60.00 2016-04-28T03:02:48	
b160427.000295.fits           survey  244.9372 -62.4896   60.00 2016-04-28T03:06:42	
b160427.000296.fits           survey  241.9169 -62.4896   60.00 2016-04-28T03:08:22	
b160427.000297.fits           survey   69.1777 -62.4896   60.00 2016-04-28T03:15:38	
b160427.000298.fits           survey   66.1574 -62.4896   60.00 2016-04-28T03:17:18	
b160427.000299.fits           survey   53.9301 -59.5594   60.00 2016-04-28T03:19:17	
b160427.000300.fits           survey   56.6985 -59.5594   60.00 2016-04-28T03:20:58	
b160427.000301.fits           survey   59.4669 -59.5594   60.00 2016-04-28T03:22:38	
b160427.000302.fits           survey   62.2353 -59.5594   60.00 2016-04-28T03:24:34	
b160427.000303.fits           survey   65.0037 -59.5594   60.00 2016-04-28T03:26:23	
b160427.000304.fits           survey   67.7721 -59.5594   60.00 2016-04-28T03:28:07	
b160427.000305.fits           survey   70.5405 -59.5594   60.00 2016-04-28T03:29:48	
b160427.000269.fits           survey  300.2873 -41.9781   60.00 2016-04-28T02:18:54	
