time,disk_0,disk_1,disk_2,disk_3,disk_4,disk_5,disk_6,disk_7,disk_8,disk_9,disk_10,disk_11,disk_12,disk_13,disk_14,disk_15,disk_16,disk_17,opened, ,tasks_0,tasks_1,tasks_2,tasks_3,tasks_4,tasks_5,tasks_6,tasks_7,tasks_8,tasks_9,tasks_10,tasks_11,tasks_12,tasks_13,tasks_14,tasks_15,tasks_16,tasks_17, ,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17
1500,8,37,36,33,16,36,32,16,36,-7,-7,-7,26,26,12,33,19,30,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19565.000000,23433.000000,20931.000000,20040.000000,10735.000000,25505.000000,28683.000000,19360.000000,23132.000000,17030.000000,21025.000000,39551.000000,34611.000000,49993.000000,50710.500000,48573.000000,49792.500000,57905.500000
1501,9,38,37,34,17,37,33,17,37,-7,-7,-7,27,27,13,34,20,31,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19600.000000,23459.000000,20965.000000,20063.000000,10752.500000,25534.000000,28712.000000,19371.500000,23148.000000,17044.000000,21042.000000,39593.000000,34664.000000,50060.000000,50775.500000,48644.000000,49868.500000,57982.500000
1502,10,39,38,35,18,38,34,18,38,-7,-7,-7,28,28,14,35,21,32,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19635.000000,23485.000000,20999.000000,20086.000000,10770.000000,25563.000000,28741.000000,19383.000000,23164.000000,17058.000000,21059.000000,39635.000000,34717.000000,50127.000000,50840.500000,48715.000000,49944.500000,58059.500000
1503,11,40,39,36,19,39,35,19,39,-7,-7,-7,29,29,15,36,22,33,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19670.000000,23511.000000,21033.000000,20109.000000,10787.500000,25592.000000,28770.000000,19394.500000,23180.000000,17072.000000,21076.000000,39677.000000,34770.000000,50194.000000,50905.500000,48786.000000,50020.500000,58136.500000
1504,12,41,40,37,20,40,36,20,40,-7,-7,-7,30,30,16,37,23,34,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19705.000000,23537.000000,21067.000000,20132.000000,10805.000000,25621.000000,28799.000000,19406.000000,23196.000000,17086.000000,21093.000000,39719.000000,34823.000000,50261.000000,50970.500000,48857.000000,50096.500000,58213.500000
1505,13,42,41,38,21,41,37,21,41,-7,-7,-7,31,31,17,38,24,35,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19740.000000,23563.000000,21101.000000,20155.000000,10822.500000,25650.000000,28828.000000,19417.500000,23212.000000,17100.000000,21110.000000,39761.000000,34876.000000,50328.000000,51035.500000,48928.000000,50172.500000,58290.500000
1506,14,43,42,39,22,42,38,22,42,-7,-7,-7,32,32,18,39,25,36,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19775.000000,23589.000000,21135.000000,20178.000000,10840.000000,25679.000000,28857.000000,19429.000000,23228.000000,17114.000000,21127.000000,39803.000000,34928.000000,50392.000000,51099.500000,48998.000000,50245.500000,58366.500000
1507,15,44,43,40,23,43,39,23,43,-7,-7,-7,33,33,19,40,26,37,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19810.000000,23615.000000,21169.000000,20201.000000,10857.500000,25708.000000,28886.000000,19440.500000,23244.000000,17128.000000,21144.000000,39845.000000,34980.000000,50456.000000,51163.500000,49068.000000,50318.500000,58442.500000
1508,16,45,44,41,24,44,40,24,44,-7,-7,-7,34,34,20,41,27,38,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19845.000000,23641.000000,21203.000000,20224.000000,10875.000000,25737.000000,28915.000000,19452.000000,23260.000000,17142.000000,21161.000000,39887.000000,35030.000000,50519.000000,51225.500000,49136.000000,50390.500000,58516.500000
1509,17,46,45,42,25,45,41,25,45,-7,-7,-7,35,35,21,42,28,39,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19880.000000,23667.000000,21237.000000,20247.000000,10892.500000,25766.000000,28944.000000,19463.500000,23276.000000,17156.000000,21178.000000,39929.000000,35080.000000,50582.000000,51287.500000,49204.000000,50462.500000,58590.500000
